codigo;tipo;descricao;cidade;estado;data;ano;hora;aeronave_liberada;status_investigacao;aeronaves_envolvidas;ocorrencia_saida_pista;aeronave_tipo;aeronave_fabricante;motor_tipo;aeronave_motor_quantidade;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_fase_operacao;aeronave_nivel_dano
66405;INCIDENTE;ESTOURO DE PNEU;SÃO PAULO;SP;10/02/2017;2017;13:39:00;SIM;FINALIZADA;1;NÃO;AVIÃO;DIAMOND AIRCRAFT;PISTÃO;MONOMOTOR;1;2014;BRASIL;DECOLAGEM;NENHUM
66406;ACIDENTE;PERDA DE CONTROLE EM VOO;BOTUCATU;SP;11/02/2017;2017;20:00:00;SIM;INDETERMINADA;1;NÃO;ULTRALEVE;FLYER INDUSTRIA AERONAUTICA LTDA;PISTÃO;MONOMOTOR;2;1996;BRASIL;CRUZEIRO;SUBSTANCIAL
66409;INCIDENTE;COLISÃO COM AVE;BARRA VELHA;SC;04/02/2017;2017;11:41:00;SIM;FINALIZADA;1;NÃO;HELICÓPTERO;EUROCOPTER FRANCE;TURBOEIXO;MONOMOTOR;5;2007;BRASIL;DESCIDA;LEVE
66412;INCIDENTE;ESTOURO DE PNEU;NORTELÂNDIA;MT;15/02/2017;2017;12:32:00;SIM;FINALIZADA;1;NÃO;AVIÃO;EMBRAER;JATO;BIMOTOR;0;0;BRASIL;CORRIDA APÓS POUSO;LEVE
66414;INCIDENTE;ESTOURO DE PNEU;COLATINA;ES;13/02/2017;2017;12:30:00;SIM;FINALIZADA;1;NÃO;AVIÃO;EMBRAER;JATO;BIMOTOR;7;2010;BRASIL;CORRIDA APÓS POUSO;LEVE
66417;ACIDENTE;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;BOCA DO ACRE;AM;17/02/2017;2017;13:35:00;SIM;FINALIZADA;1;NÃO;AVIÃO;EMBRAER;PISTÃO;MONOMOTOR;1;2012;BRASIL;ESPECIALIZADA;SUBSTANCIAL
66427;INCIDENTE;POUSO EM LOCAL NÃO PREVISTO;LAPA;PR;18/02/2017;2017;10:30:00;NÃO;FINALIZADA;1;NÃO;ULTRALEVE;CHALLENGER DO BRASIL;PISTÃO;MONOMOTOR;2;1991;BRASIL;CRUZEIRO;NENHUM
66430;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SÃO PAULO;SP;04/12/2016;2016;11:54:00;SIM;FINALIZADA;1;NÃO;AVIÃO;AIRBUS INDUSTRIE;JATO;BIMOTOR;182;2001;BRASIL;ESTACIONAMENTO;NENHUM
66431;ACIDENTE;FOGO NO SOLO;SÃO FÉLIX DO XINGU;PA;16/02/2017;2017;15:00:00;NÃO;FINALIZADA;1;NÃO;HELICÓPTERO;EUROCOPTER DEUTSCHLAND;TURBOEIXO;BIMOTOR;6;1996;BRASIL;POUSO;DESTRUÍDA
66432;INCIDENTE GRAVE;FOGO EM VOO;VITÓRIA;ES;21/02/2017;2017;11:47:00;SIM;ATIVA;1;NÃO;AVIÃO;EMBRAER;TURBOEIXO;BIMOTOR;125;2015;BRASIL;DESCIDA;LEVE
66434;INCIDENTE;COLISÃO COM AVE;GUARULHOS;SP;15/02/2017;2017;20:00:00;SIM;ATIVA;1;NÃO;AVIÃO;BOEING COMPANY;JATO;BIMOTOR;235;2013;BRASIL;CRUZEIRO;LEVE
66437;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BELO HORIZONTE;MG;11/02/2017;2017;16:00:00;SIM;FINALIZADA;1;NÃO;HELICÓPTERO;EUROCOPTER DEUTSCHLAND;TURBOEIXO;BIMOTOR;0;0;BRASIL;CRUZEIRO;NENHUM
66440;INCIDENTE;COLISÃO COM AVE;BRAGANÇA PAULISTA;SP;20/02/2017;2017;21:40:00;SIM;FINALIZADA;1;NÃO;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;2;1981;BRASIL;DECOLAGEM;NENHUM
66443;INCIDENTE;FALHA DO MOTOR EM VOO;MACAÉ;RJ;22/02/2017;2017;11:20:00;SIM;FINALIZADA;1;NÃO;HELICÓPTERO;AGUSTA;TURBOEIXO;BIMOTOR;14;0;BRASIL;CRUZEIRO;NENHUM
66444;INCIDENTE GRAVE;PERDA DE CONTROLE NO SOLO;SÃO PAULO;SP;22/02/2017;2017;21:48:00;SIM;FINALIZADA;1;SIM;AVIÃO;AIRBUS INDUSTRIE;JATO;BIMOTOR;184;2001;BRASIL;DECOLAGEM;LEVE
66445;INCIDENTE;COLISÃO COM AERONAVE NO SOLO;ARARAQUARA;SP;22/02/2017;2017;10:30:00;SIM;FINALIZADA;2;NÃO;AVIÃO;EMBRAER;JATO;BIMOTOR;10;0;BRASIL;ESTACIONAMENTO;LEVE
